Date,Open,High,Low,Close,Adj Close,Volume,M2,Open_1,High_1,Low_1,Close_1
2019-11-27,8669.59,8705.91,8662.58,8705.18,8705.18,1744580000,15281.75,8535.67,8571.43,8528.77,8570.71
2019-11-29,8682.01,8697.32,8664.04,8665.47,8665.47,1099090000,15281.42,8548.08,8563.16,8530.39,8531.80
2019-12-02,8672.84,8672.84,8540.16,8567.99,8567.99,2225940000,15281.10,8539.24,8539.24,8408.60,8436.00
2019-12-03,8460.72,8523.98,8435.40,8520.64,8520.64,2308600000,15277.22,8332.50,8394.80,8307.57,8391.51
2019-12-04,8557.45,8584.88,8552.38,8566.67,8566.67,2150680000,15273.34,8429.91,8456.93,8424.91,8438.99
2019-12-05,8587.93,8588.89,8541.92,8570.70,8570.70,2123380000,15269.46,8462.08,8463.03,8416.75,8445.10
2019-12-06,8634.25,8665.44,8630.58,8656.53,8656.53,2053530000,15265.58,8509.89,8540.63,8506.27,8531.84
2019-12-09,8650.86,8678.85,8619.77,8621.83,8621.83,2088520000,15261.70,8528.42,8556.02,8497.77,8499.80
2019-12-10,8623.56,8650.76,8600.82,8616.18,8616.18,2053390000,15272.58,8495.45,8522.25,8473.05,8488.18
2019-12-11,8631.12,8658.48,8622.36,8654.05,8654.05,1937850000,15283.46,8496.85,8523.78,8488.22,8519.42
2019-12-12,8645.36,8745.82,8633.60,8717.32,8717.32,2388270000,15294.34,8504.81,8603.64,8493.24,8575.60
2019-12-13,8713.91,8768.87,8697.58,8734.88,8734.88,2188720000,15305.22,8566.15,8620.18,8550.10,8586.77
2019-12-16,8791.31,8833.45,8789.77,8814.23,8814.23,2346290000,15316.10,8636.10,8677.50,8634.59,8658.62
2019-12-17,8829.47,8831.99,8804.60,8823.36,8823.36,2374120000,15318.10,8672.46,8674.93,8648.03,8666.46
2019-12-18,8834.65,8848.76,8820.42,8827.74,8827.74,2727870000,15320.10,8676.41,8690.27,8662.44,8669.63
2019-12-19,8838.97,8888.13,8838.97,8887.22,8887.22,2415950000,15322.10,8679.52,8727.79,8679.52,8726.90
2019-12-20,8911.84,8931.91,8901.87,8924.96,8924.96,3825460000,15324.10,8749.93,8769.64,8740.15,8762.82
2019-12-23,8950.20,8956.64,8934.55,8945.65,8945.65,2025450000,15326.10,8786.45,8792.77,8771.09,8781.98
2019-12-24,8955.01,8957.12,8934.36,8952.88,8952.88,1014520000,15327.98,8790.10,8792.17,8769.83,8788.01
2019-12-26,8970.21,9022.46,8968.46,9022.39,9022.39,1634920000,15329.85,8803.94,8855.22,8802.22,8855.15
2019-12-27,9049.47,9052.00,8987.32,9006.62,9006.62,1832200000,15331.73,8880.64,8883.13,8819.66,8838.59
2019-12-30,9004.45,9006.36,8909.19,8945.99,8945.99,2042420000,15333.60,8835.38,8837.26,8741.91,8778.02
2019-12-31,8918.74,8975.36,8912.77,8972.60,8972.60,2182800000,15334.62,8750.70,8806.25,8744.84,8803.54
2020-01-02,9039.46,9093.43,9010.89,9092.19,9092.19,2848370000,15335.65,8868.55,8921.50,8840.52,8920.29
2020-01-03,8976.43,9065.76,8976.43,9020.77,9020.77,2567400000,15336.68,8806.12,8893.76,8806.12,8849.62
2020-01-06,8943.50,9072.41,8943.50,9071.47,9071.47,2788120000,15337.70,8773.23,8899.69,8773.23,8898.77
2020-01-07,9076.64,9091.93,9042.55,9068.58,9068.58,2352850000,15344.46,8899.92,8914.91,8866.49,8892.01
2020-01-08,9068.03,9168.89,9059.38,9129.24,9129.24,2464090000,15351.22,8887.56,8986.41,8879.08,8947.55
2020-01-09,9202.27,9215.95,9158.50,9203.43,9203.43,2534700000,15357.98,9015.16,9028.56,8972.28,9016.29
2020-01-10,9232.95,9235.20,9164.66,9178.86,9178.86,2378990000,15364.74,9041.23,9043.44,8974.36,8988.27
2020-01-13,9213.72,9274.49,9193.06,9273.93,9273.93,2530270000,15371.50,9018.43,9077.92,8998.21,9077.37
2020-01-14,9270.61,9298.33,9226.49,9251.33,9251.33,2542170000,15379.70,9069.28,9096.40,9026.12,9050.42
2020-01-15,9253.76,9298.82,9231.14,9258.70,9258.70,2435650000,15387.90,9047.97,9092.03,9025.86,9052.80
2020-01-16,9313.45,9357.92,9301.32,9357.13,9357.13,2301400000,15396.10,9101.49,9144.94,9089.63,9144.17
2020-01-17,9392.37,9393.48,9346.81,9388.94,9388.94,2522670000,15404.30,9173.72,9174.81,9129.22,9170.37
2020-01-21,9361.07,9397.58,9350.20,9370.81,9370.81,2684540000,15412.50,9138.29,9173.93,9127.68,9147.79
2020-01-22,9413.61,9439.29,9375.13,9383.77,9383.77,2449390000,15420.70,9184.69,9209.75,9147.15,9155.58
2020-01-23,9377.72,9409.20,9334.13,9402.48,9402.48,2460050000,15428.90,9144.81,9175.51,9102.30,9168.96
2020-01-24,9446.21,9451.43,9273.23,9314.91,9314.91,2611710000,15437.10,9206.71,9211.79,9038.11,9078.74
2020-01-27,9092.46,9185.45,9088.04,9139.31,9139.31,2583330000,15445.30,8857.22,8947.80,8852.91,8902.86
2020-01-28,9201.82,9288.87,9182.33,9269.68,9269.68,2157830000,15441.88,8965.74,9050.55,8946.75,9031.85
2020-01-29,9318.26,9329.12,9249.04,9275.16,9275.16,2223480000,15438.46,9081.20,9091.78,9013.74,9039.20
2020-01-30,9211.15,9303.00,9185.18,9298.93,9298.93,2333500000,15435.04,8978.80,9068.34,8953.49,9064.37
2020-01-31,9324.33,9324.80,9123.22,9150.94,9150.94,2685840000,15431.62,9091.14,9091.60,8895.06,8922.09
2020-02-03,9190.72,9299.85,9188.55,9273.40,9273.40,2420510000,15428.20,8962.86,9069.29,8960.74,9043.49
2020-02-04,9398.39,9485.38,9374.05,9467.97,9467.97,2445420000,15429.04,9164.88,9249.71,9141.15,9232.73
2020-02-05,9574.10,9574.94,9454.93,9508.68,9508.68,2462470000,15429.88,9335.72,9336.54,9219.52,9271.93
2020-02-06,9540.98,9575.66,9505.68,9572.15,9572.15,2267300000,15430.72,9302.92,9336.73,9268.50,9333.31
2020-02-07,9526.64,9570.09,9496.53,9520.51,9520.51,2238670000,15431.56,9288.43,9330.79,9259.07,9282.45
2020-02-10,9493.63,9628.66,9493.63,9628.39,9628.39,2179310000,15432.40,9255.74,9387.39,9255.74,9387.12
2020-02-11,9680.89,9714.74,9617.21,9638.94,9638.94,2423670000,15432.59,9438.19,9471.20,9376.11,9397.30
2020-02-12,9688.60,9728.77,9666.69,9725.96,9725.96,2355000000,15432.78,9445.59,9484.76,9424.23,9482.02
2020-02-13,9657.04,9748.32,9650.02,9711.97,9711.97,2239270000,15432.97,9414.71,9503.70,9407.87,9468.26
2020-02-14,9728.90,9746.36,9693.05,9731.18,9731.18,2222240000,15433.16,9484.65,9501.67,9449.70,9486.87
2020-02-18,9679.04,9747.68,9675.80,9732.74,9732.74,2273460000,15433.34,9435.93,9502.84,9432.77,9488.28
2020-02-19,9782.81,9838.37,9777.10,9817.18,9817.18,2462530000,15433.53,9536.97,9591.14,9531.41,9570.48
2020-02-20,9799.20,9820.86,9636.94,9750.97,9750.97,2735610000,15433.72,9552.84,9573.95,9394.66,9505.82
2020-02-21,9708.01,9715.95,9542.33,9576.59,9576.59,2743010000,15433.91,9463.82,9471.56,9302.31,9335.71
2020-02-24,9188.44,9322.88,9166.01,9221.28,9221.28,3177000000,15434.10,8957.21,9088.27,8935.35,8989.23
2020-02-25,9301.20,9315.26,8940.49,8965.61,8965.61,3583400000,15449.82,9057.91,9071.60,8706.63,8731.10
2020-02-26,9011.55,9148.32,8927.80,8980.78,8980.78,3567830000,15465.54,8766.92,8899.97,8685.44,8736.98
